h1,h2,h3,h4,max_iter,learning_rate_init,s1,s2,s3,m1,m2,m3,m4,m5,m6,m7,m8,m9,y
9,4,0,0,2941,0.0001320621698737015,1,1,0,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.6228505428505429
17,5,1,0,538,0.000330985697258424,0,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.11162307203109267
18,2,2,0,766,0.012263080100828576,0,1,0,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.5246938775510204
10,1,3,2,3268,0.005896480925937986,0,0,0,214,9,22.77777777777778,0.04205607476635514,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
9,2,1,0,819,0.014357555625735688,0,0,1,208,60,1.1443298969072164,0.28846153846153844,1.0,0.0,0.997,0.034,0.7666666666666667,0.6273427920082693
18,2,1,0,4307,0.08546105496929851,0,0,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.7325163628104805
18,2,2,1,375,0.008941885634081962,1,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.0
14,1,3,1,770,0.0010834512435615646,1,1,0,569,30,1.6839622641509433,0.05272407732864675,1.0,0.0,4068.8,0.028999999999999998,0.8,0.0
22,3,1,1,481,0.00034443321269678293,1,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.8850323535863128
9,3,4,0,765,0.06271141430013495,1,0,1,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.9301772049950932
13,3,2,1,565,0.00012069252533856418,1,0,1,192,9,10.294117647058824,0.046875,1.0,0.0,10.760000000000002,0.02262053999999991,0.5555555555555556,0.15926829268292683
16,2,0,0,154,0.0026851400007900927,0,0,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.04
16,3,1,1,304,0.0002162245608197882,0,1,0,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.16415898251192368
18,4,0,0,655,0.006611837771744034,1,0,1,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.7901027077497667
17,0,0,0,4805,0.000911838342073958,1,1,0,129,9,20.5,0.06976744186046512,0.0,0.0,6369.0,31.0,0.2222222222222222,0.6666666666666667
14,2,1,0,4459,0.00010977715599999705,0,0,0,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.8894849847096317
24,4,2,0,988,0.005913145049080693,1,0,0,208,60,1.1443298969072164,0.28846153846153844,1.0,0.0,0.997,0.034,0.7666666666666667,0.7384761861464973
16,3,2,0,3256,0.00017802139375934042,0,1,0,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.5542857142857144
17,3,0,0,4087,0.00526461257233619,0,1,0,269,13,1.2605042016806722,0.048327137546468404,0.07692307692307693,0.0,438.0,1.0,0.5384615384615384,0.7524989530696
20,0,0,0,606,0.0020687957151295146,1,0,0,219,7,1.881578947368421,0.0319634703196347,1.0,0.0,0.94,0.0,0.5714285714285714,0.9731154866638738
19,1,3,0,3404,0.068542361159351,1,0,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.9373737373737374
14,2,2,1,6488,0.01172137291289764,1,0,1,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.09236276762592552
17,5,0,0,535,0.08854556126766386,1,1,0,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.5144842871342854
13,3,2,0,1927,0.010478788213112175,1,1,0,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.7866666666666666
18,3,3,3,1196,0.0001558913273366696,1,0,1,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.27520118857159825
9,3,0,0,278,0.0003190332833936806,1,0,1,129,9,20.5,0.06976744186046512,0.0,0.0,6369.0,31.0,0.2222222222222222,0.6666666666666667
14,3,2,0,3361,0.0002263455520997604,0,1,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.1431491384432561
20,5,2,1,1991,0.0003326968165948301,1,0,0,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.5884958179075825
14,1,2,0,106,0.0028938834360909393,0,1,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.1431491384432561
13,2,4,2,3748,0.00011175472403115458,0,1,0,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.07179487179487179
12,2,4,3,213,0.015208879185138005,0,0,1,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.3038147361579103
13,0,0,0,672,0.0011611718875487826,0,0,0,192,9,10.294117647058824,0.046875,1.0,0.0,10.760000000000002,0.02262053999999991,0.5555555555555556,0.0
10,1,4,0,368,0.008550517671007245,0,0,0,432,6,1.1176470588235294,0.013888888888888888,0.0,0.0,3.0,1.0,1.0,0.9345632798573975
12,2,3,1,2984,0.007610525410448844,0,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.0
22,4,1,0,102,0.00026523402651826376,0,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.11162307203109267
15,2,2,1,442,0.00461600590080898,0,1,0,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.9846153846153847
15,5,5,2,481,0.02453357251488387,1,0,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
16,3,1,3,9784,0.019875631641149152,0,0,0,269,13,1.2605042016806722,0.048327137546468404,0.07692307692307693,0.0,438.0,1.0,0.5384615384615384,0.31254901960784315
19,5,2,1,712,0.0001074291223065413,0,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.8850323535863128
14,4,1,0,150,0.003178318151527748,1,0,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.0
16,2,4,1,6158,0.0031103079512751312,1,0,1,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
13,6,1,2,152,0.026321311258895294,1,0,1,269,13,1.2605042016806722,0.048327137546468404,0.07692307692307693,0.0,438.0,1.0,0.5384615384615384,0.6126099865047233
7,3,2,3,3148,0.031420975487667736,1,1,0,269,13,1.2605042016806722,0.048327137546468404,0.07692307692307693,0.0,438.0,1.0,0.5384615384615384,0.777362643410905
14,5,5,1,6148,0.0010111890953335854,0,0,0,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.0
15,2,1,2,546,0.0005758084801478768,1,0,1,569,30,1.6839622641509433,0.05272407732864675,1.0,0.0,4068.8,0.028999999999999998,0.8,0.0
16,10,0,0,1130,0.0018736332747475797,1,1,0,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.9777777777777776
19,3,1,1,991,0.00029207328306605856,0,1,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.1431491384432561
16,2,2,0,2422,0.00011742229396160709,1,0,1,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.39908481903346865
13,0,0,0,3391,0.000633876522480437,1,1,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.9515667687865573
14,3,3,1,9034,0.0001344243596559646,0,0,1,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.0
12,3,6,2,3403,0.00010254307590012899,0,0,1,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.7904097223198387
17,3,1,1,2745,0.06319216886008977,1,1,0,213,9,3.26,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
15,5,5,1,566,0.007079248075146022,0,1,0,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
16,2,3,0,3179,0.06756953662631214,1,0,0,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.954248366013072
12,7,4,3,402,0.006006252793474057,1,1,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.7550842097661802
27,1,6,3,474,0.002564608696128052,1,0,1,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.41397143658711927
16,2,2,1,2573,0.005137481857755003,0,1,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.7027022344057758
24,4,1,1,820,0.0004527717792824806,1,1,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.76
12,3,1,2,3377,0.04330431699663122,1,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.966013071895425
18,5,1,3,198,0.0007632623795780367,0,1,0,208,60,1.1443298969072164,0.28846153846153844,1.0,0.0,0.997,0.034,0.7666666666666667,0.6273427920082693
12,6,2,1,878,0.000424889685145645,0,0,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
18,3,5,0,540,0.002353188930831769,1,0,1,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.9764705882352942
16,5,2,0,4728,0.003197965868627171,0,1,0,947,8,30.566666666666666,0.008447729672650475,1.0,0.0,1.0,0.5,0.5,0.07939252995066948
17,4,3,1,2338,0.00026068318085992583,1,1,0,947,8,30.566666666666666,0.008447729672650475,1.0,0.0,1.0,0.5,0.5,0.13244498513053748
22,4,0,0,1848,0.0682559183178143,1,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.9555555555555557
20,2,1,0,2908,0.0078015063402896165,1,0,1,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.8850323535863128
9,4,3,2,101,0.018484606152861446,1,0,1,269,13,1.2605042016806722,0.048327137546468404,0.07692307692307693,0.0,438.0,1.0,0.5384615384615384,0.6126099865047233
13,0,0,0,3326,0.003184822023418016,0,1,0,214,9,22.77777777777778,0.04205607476635514,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.7333333333333334
12,4,3,2,3242,0.003918842939387619,1,1,0,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.5977336383729515
12,1,3,0,1229,0.0009175930128477012,0,1,0,208,60,1.1443298969072164,0.28846153846153844,1.0,0.0,0.997,0.034,0.7666666666666667,0.0
17,1,0,0,960,0.01226733011140884,1,1,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.3523076923076923
20,3,3,0,4771,0.00018428466759556992,0,0,1,432,6,1.1176470588235294,0.013888888888888888,0.0,0.0,3.0,1.0,1.0,0.9850759555648817
17,0,0,0,112,0.03759982201011924,1,1,0,219,7,1.881578947368421,0.0319634703196347,1.0,0.0,0.94,0.0,0.5714285714285714,0.9824761904761905
14,4,3,0,475,0.0001649673069413193,1,0,1,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.3810397012603548
13,4,4,1,105,0.001355473879902837,1,0,0,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
10,1,4,0,686,0.0005363332905599634,0,0,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.0
11,5,2,0,5603,0.015795655621082323,0,0,1,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.3341403216420309
19,4,5,1,961,0.06576001279441328,0,0,1,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.15357142857142855
14,4,1,2,2289,0.061683605145117816,1,0,1,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.14222222222222222
11,3,0,0,594,0.00014050089092663664,0,1,0,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.5664360503297792
19,2,3,1,489,0.0019844329804235192,1,0,0,432,6,1.1176470588235294,0.013888888888888888,0.0,0.0,3.0,1.0,1.0,0.0
19,4,4,2,180,0.08918910895368036,1,0,1,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.39555591598410506
9,3,0,0,1407,0.0008276411567134298,0,0,0,214,9,22.77777777777778,0.04205607476635514,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
16,1,1,1,414,0.0004835784594924049,1,1,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.0
15,4,4,1,266,0.00010025556233428257,1,1,0,192,9,10.294117647058824,0.046875,1.0,0.0,10.760000000000002,0.02262053999999991,0.5555555555555556,0.0
16,0,0,0,2563,0.00010251945483664347,1,0,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
10,4,2,1,366,0.005960836259344587,0,1,0,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.1498647555195931
25,3,0,0,8872,0.000394857124469093,1,0,1,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.9882352941176471
15,0,0,0,469,0.00036292102373381856,0,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.581203007518797
17,4,3,0,445,0.019588677020595014,0,1,0,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.0
20,2,2,0,3011,0.049690108335918096,1,0,0,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.0
16,2,1,0,159,0.000573258749193054,0,0,0,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.4938015300191928
21,3,5,1,287,0.00011812165568011027,1,0,0,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.5213891222881142
10,4,6,1,1165,0.0004403618289297236,1,0,1,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.0
14,3,3,1,2001,0.019619774004651962,1,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.9461988304093569
10,1,3,1,648,0.0012617211750756527,0,1,0,432,6,1.1176470588235294,0.013888888888888888,0.0,0.0,3.0,1.0,1.0,1.0
12,5,6,0,100,0.0370881914694041,0,1,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.5809880489492141
15,2,3,0,758,0.00011372832050956444,0,0,0,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.0
14,3,4,0,186,0.0027057210269209055,1,1,0,213,9,3.26,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.8341255694196871
19,4,0,0,407,0.06394709575088602,0,0,1,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.4929955795459594
22,6,1,1,591,0.02024805774221569,1,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.024
17,1,0,0,645,0.0005431461712030021,1,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.8850323535863128
8,3,1,1,900,0.001015445133711947,1,1,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
18,7,1,1,151,0.0009112071691292376,1,0,0,845,18,2.876146788990826,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.9115914580588493
12,4,2,1,225,0.003480299291560995,1,0,1,213,9,3.26,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.8513308705124563
19,4,4,3,8570,0.0018542761999914387,0,1,0,213,9,6.607142857142857,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
9,0,0,0,6922,0.00022024274417843933,0,1,0,947,8,30.566666666666666,0.008447729672650475,1.0,0.0,1.0,0.5,0.5,0.12143817204301074
22,5,2,1,592,0.0220294966905615,0,1,0,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.0
18,3,0,0,117,0.001744020089193747,1,0,1,192,9,10.294117647058824,0.046875,1.0,0.0,10.760000000000002,0.02262053999999991,0.5555555555555556,0.10367149758454107
13,1,3,2,2619,0.00037289884799486897,1,1,0,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.27520118857159825
17,3,0,0,1627,0.00017617196401668398,0,0,1,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.0
13,6,3,0,1659,0.00022370476650566121,1,0,1,192,9,10.294117647058824,0.046875,1.0,0.0,10.760000000000002,0.02262053999999991,0.5555555555555556,0.17177053869378678
23,6,2,0,1505,0.004566639061580416,0,0,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.8850323535863128
11,4,4,0,327,0.0011853946496760838,1,0,1,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.0
21,5,1,1,115,0.008402244128466706,0,1,0,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.10847457627118644
15,5,0,0,179,0.0004155109633670736,1,0,0,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.0
15,4,0,0,9890,0.02306663946992752,0,0,1,432,6,1.1176470588235294,0.013888888888888888,0.0,0.0,3.0,1.0,1.0,0.5975308641975309
16,3,3,2,7345,0.00011369713993342155,1,1,0,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.9641055092118922
12,5,1,1,158,0.010126710837793321,1,1,0,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.966013071895425
10,5,3,1,2322,0.004134347565999198,1,1,0,208,60,1.1443298969072164,0.28846153846153844,1.0,0.0,0.997,0.034,0.7666666666666667,0.0
10,7,2,1,5071,0.00015075105381250737,0,1,0,149,4,1.98,0.026845637583892617,1.0,0.0,5.9,2.4,1.0,0.0
12,3,2,0,110,0.00010677741107651382,1,1,0,432,6,1.1176470588235294,0.013888888888888888,0.0,0.0,3.0,1.0,1.0,0.0
12,6,0,0,1439,0.010938231246131256,1,1,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.6257493857493858
17,5,2,3,209,0.0002885892602483683,0,0,0,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.16165160375686694
15,1,5,2,174,0.002458571474896759,0,1,0,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.1452439024390244
17,3,5,2,2546,0.001931363796468866,1,1,0,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.6685468702598847
13,3,4,0,455,0.0038142122043450122,1,0,0,214,9,22.77777777777778,0.04205607476635514,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.13333333333333333
17,2,0,0,133,0.00013987352329291984,1,1,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.7325163628104805
15,3,1,1,7404,0.0003491333941824219,1,1,0,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.1663775869665534
19,2,1,1,367,0.002283941000017938,0,0,0,213,9,1.8026315789473684,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
16,2,3,1,712,0.0045744809679029155,0,0,0,569,30,1.6839622641509433,0.05272407732864675,1.0,0.0,4068.8,0.028999999999999998,0.8,0.0
