boosting_type,colsample_bytree,learning_rate,metric,n_estimators,num_leaves,random_state,reg_alpha,score
gbdt,0.5,0.01,mae,50,8,2020,0.0,1.4992152590839745
gbdt,0.5,0.01,mae,50,8,2020,0.1,1.4994265064151482
gbdt,0.5,0.01,mae,50,8,2020,1.0,1.5027613971403881
gbdt,0.5,0.01,mae,50,8,2020,10.0,1.5233601953061984
gbdt,0.5,0.01,mae,50,8,2021,0.0,1.4992538098041175
gbdt,0.5,0.01,mae,50,8,2021,0.1,1.50017163116601
gbdt,0.5,0.01,mae,50,8,2021,1.0,1.5023430979643948
gbdt,0.5,0.01,mae,50,8,2021,10.0,1.523840846836631
gbdt,0.5,0.01,mae,50,8,2022,0.0,1.4990563180132521
gbdt,0.5,0.01,mae,50,8,2022,0.1,1.4995014552824868
gbdt,0.5,0.01,mae,50,8,2022,1.0,1.5024070134442857
gbdt,0.5,0.01,mae,50,8,2022,10.0,1.5238513560797333
gbdt,0.5,0.01,mae,50,8,2023,0.0,1.498790418492741
gbdt,0.5,0.01,mae,50,8,2023,0.1,1.4991835434078706
gbdt,0.5,0.01,mae,50,8,2023,1.0,1.5025241729231886
gbdt,0.5,0.01,mae,50,8,2023,10.0,1.5237285607923305
gbdt,0.5,0.01,mae,50,16,2020,0.0,1.4880238491909255
gbdt,0.5,0.01,mae,50,16,2020,0.1,1.4886135742147526
gbdt,0.5,0.01,mae,50,16,2020,1.0,1.493813618795155
gbdt,0.5,0.01,mae,50,16,2020,10.0,1.5239749903762891
gbdt,0.5,0.01,mae,50,16,2021,0.0,1.48799312597452
gbdt,0.5,0.01,mae,50,16,2021,0.1,1.488852053298455
gbdt,0.5,0.01,mae,50,16,2021,1.0,1.493119765993122
gbdt,0.5,0.01,mae,50,16,2021,10.0,1.523777274755663
gbdt,0.5,0.01,mae,50,16,2022,0.0,1.4881783877840362
gbdt,0.5,0.01,mae,50,16,2022,0.1,1.488742674220822
gbdt,0.5,0.01,mae,50,16,2022,1.0,1.4935667659037608
gbdt,0.5,0.01,mae,50,16,2022,10.0,1.5243615429640733
gbdt,0.5,0.01,mae,50,16,2023,0.0,1.48820530602939
gbdt,0.5,0.01,mae,50,16,2023,0.1,1.488849100520048
gbdt,0.5,0.01,mae,50,16,2023,1.0,1.492990928045403
gbdt,0.5,0.01,mae,50,16,2023,10.0,1.524603557584755
gbdt,0.5,0.01,mae,50,32,2020,0.0,1.4840235411491505
gbdt,0.5,0.01,mae,50,32,2020,0.1,1.4852123070909014
gbdt,0.5,0.01,mae,50,32,2020,1.0,1.4932424703878027
gbdt,0.5,0.01,mae,50,32,2020,10.0,1.5239749903762891
gbdt,0.5,0.01,mae,50,32,2021,0.0,1.4842884019996836
gbdt,0.5,0.01,mae,50,32,2021,0.1,1.4854201895133046
gbdt,0.5,0.01,mae,50,32,2021,1.0,1.493563395555486
gbdt,0.5,0.01,mae,50,32,2021,10.0,1.523777274755663
gbdt,0.5,0.01,mae,50,32,2022,0.0,1.4846492139008656
gbdt,0.5,0.01,mae,50,32,2022,0.1,1.4857574926546366
gbdt,0.5,0.01,mae,50,32,2022,1.0,1.4937715724508842
gbdt,0.5,0.01,mae,50,32,2022,10.0,1.5243615429640733
gbdt,0.5,0.01,mae,50,32,2023,0.0,1.4838278208540197
gbdt,0.5,0.01,mae,50,32,2023,0.1,1.4849965376512664
gbdt,0.5,0.01,mae,50,32,2023,1.0,1.4934990105529586
gbdt,0.5,0.01,mae,50,32,2023,10.0,1.524603557584755
gbdt,0.5,0.01,mae,50,64,2020,0.0,1.4840551798434818
gbdt,0.5,0.01,mae,50,64,2020,0.1,1.4852123070909014
gbdt,0.5,0.01,mae,50,64,2020,1.0,1.4932424703878027
gbdt,0.5,0.01,mae,50,64,2020,10.0,1.5239749903762891
gbdt,0.5,0.01,mae,50,64,2021,0.0,1.4843026066439269
gbdt,0.5,0.01,mae,50,64,2021,0.1,1.4854201895133046
gbdt,0.5,0.01,mae,50,64,2021,1.0,1.493563395555486
gbdt,0.5,0.01,mae,50,64,2021,10.0,1.523777274755663
gbdt,0.5,0.01,mae,50,64,2022,0.0,1.4846900476632956
gbdt,0.5,0.01,mae,50,64,2022,0.1,1.4857574926546366
gbdt,0.5,0.01,mae,50,64,2022,1.0,1.4937715724508842
gbdt,0.5,0.01,mae,50,64,2022,10.0,1.5243615429640733
gbdt,0.5,0.01,mae,50,64,2023,0.0,1.48383048190479
gbdt,0.5,0.01,mae,50,64,2023,0.1,1.4849965376512664
gbdt,0.5,0.01,mae,50,64,2023,1.0,1.4934990105529586
gbdt,0.5,0.01,mae,50,64,2023,10.0,1.524603557584755
gbdt,0.5,0.01,mae,100,8,2020,0.0,0.926365793819506
gbdt,0.5,0.01,mae,100,8,2020,0.1,0.9269042353078509
gbdt,0.5,0.01,mae,100,8,2020,1.0,0.9320000399732378
gbdt,0.5,0.01,mae,100,8,2020,10.0,0.9626758245047935
gbdt,0.5,0.01,mae,100,8,2021,0.0,0.9256949812818316
gbdt,0.5,0.01,mae,100,8,2021,0.1,0.9268012601404554
gbdt,0.5,0.01,mae,100,8,2021,1.0,0.930897641241123
gbdt,0.5,0.01,mae,100,8,2021,10.0,0.9629409806758618
gbdt,0.5,0.01,mae,100,8,2022,0.0,0.9265661887943433
gbdt,0.5,0.01,mae,100,8,2022,0.1,0.9271924702961964
gbdt,0.5,0.01,mae,100,8,2022,1.0,0.9311125653119694
gbdt,0.5,0.01,mae,100,8,2022,10.0,0.9636112054373676
gbdt,0.5,0.01,mae,100,8,2023,0.0,0.9260137931976132
gbdt,0.5,0.01,mae,100,8,2023,0.1,0.9265311803990308
gbdt,0.5,0.01,mae,100,8,2023,1.0,0.9316536516082419
gbdt,0.5,0.01,mae,100,8,2023,10.0,0.964348909846418
gbdt,0.5,0.01,mae,100,16,2020,0.0,0.9107568374127005
gbdt,0.5,0.01,mae,100,16,2020,0.1,0.9112816428625419
gbdt,0.5,0.01,mae,100,16,2020,1.0,0.918979480099488
gbdt,0.5,0.01,mae,100,16,2020,10.0,0.9638260827008007
gbdt,0.5,0.01,mae,100,16,2021,0.0,0.910646948571572
gbdt,0.5,0.01,mae,100,16,2021,0.1,0.9116306591767133
gbdt,0.5,0.01,mae,100,16,2021,1.0,0.91799439009643
gbdt,0.5,0.01,mae,100,16,2021,10.0,0.96319417217122
gbdt,0.5,0.01,mae,100,16,2022,0.0,0.9109833824231199
gbdt,0.5,0.01,mae,100,16,2022,0.1,0.9118080434951356
gbdt,0.5,0.01,mae,100,16,2022,1.0,0.9191492380324116
gbdt,0.5,0.01,mae,100,16,2022,10.0,0.9634327967205966
gbdt,0.5,0.01,mae,100,16,2023,0.0,0.9108085072555084
gbdt,0.5,0.01,mae,100,16,2023,0.1,0.91154369617715
gbdt,0.5,0.01,mae,100,16,2023,1.0,0.9184293744005909
gbdt,0.5,0.01,mae,100,16,2023,10.0,0.9645921309051564
gbdt,0.5,0.01,mae,100,32,2020,0.0,0.9052061703776282
gbdt,0.5,0.01,mae,100,32,2020,0.1,0.9071074349309519
gbdt,0.5,0.01,mae,100,32,2020,1.0,0.9178588550299956
gbdt,0.5,0.01,mae,100,32,2020,10.0,0.9638260827008007
gbdt,0.5,0.01,mae,100,32,2021,0.0,0.9052945644096173
gbdt,0.5,0.01,mae,100,32,2021,0.1,0.9071794881720958
gbdt,0.5,0.01,mae,100,32,2021,1.0,0.9180692908327719
gbdt,0.5,0.01,mae,100,32,2021,10.0,0.96319417217122
gbdt,0.5,0.01,mae,100,32,2022,0.0,0.9058863141356592
gbdt,0.5,0.01,mae,100,32,2022,0.1,0.9073648643720869
gbdt,0.5,0.01,mae,100,32,2022,1.0,0.9187656684300185
gbdt,0.5,0.01,mae,100,32,2022,10.0,0.9634327967205966
gbdt,0.5,0.01,mae,100,32,2023,0.0,0.9051669621031799
gbdt,0.5,0.01,mae,100,32,2023,0.1,0.9067409886914828
gbdt,0.5,0.01,mae,100,32,2023,1.0,0.9184418333043786
gbdt,0.5,0.01,mae,100,32,2023,10.0,0.9645921309051564
gbdt,0.5,0.01,mae,100,64,2020,0.0,0.905267042003166
gbdt,0.5,0.01,mae,100,64,2020,0.1,0.9071074349309519
gbdt,0.5,0.01,mae,100,64,2020,1.0,0.9178588550299956
gbdt,0.5,0.01,mae,100,64,2020,10.0,0.9638260827008007
gbdt,0.5,0.01,mae,100,64,2021,0.0,0.9053828368672022
gbdt,0.5,0.01,mae,100,64,2021,0.1,0.9071794881720958
gbdt,0.5,0.01,mae,100,64,2021,1.0,0.9180692908327719
gbdt,0.5,0.01,mae,100,64,2021,10.0,0.96319417217122
gbdt,0.5,0.01,mae,100,64,2022,0.0,0.9059460146451634
gbdt,0.5,0.01,mae,100,64,2022,0.1,0.9073648643720869
gbdt,0.5,0.01,mae,100,64,2022,1.0,0.9187656684300185
gbdt,0.5,0.01,mae,100,64,2022,10.0,0.9634327967205966
gbdt,0.5,0.01,mae,100,64,2023,0.0,0.905255395263352
gbdt,0.5,0.01,mae,100,64,2023,0.1,0.9067409886914828
gbdt,0.5,0.01,mae,100,64,2023,1.0,0.9184418333043786
gbdt,0.5,0.01,mae,100,64,2023,10.0,0.9645921309051564
gbdt,0.5,0.01,mae,150,8,2020,0.0,0.5796794664510975
gbdt,0.5,0.01,mae,150,8,2020,0.1,0.5807666598642379
gbdt,0.5,0.01,mae,150,8,2020,1.0,0.5858810065878993
gbdt,0.5,0.01,mae,150,8,2020,10.0,0.6237084014699341
gbdt,0.5,0.01,mae,150,8,2021,0.0,0.5784766269523198
gbdt,0.5,0.01,mae,150,8,2021,0.1,0.5793241166869857
gbdt,0.5,0.01,mae,150,8,2021,1.0,0.5844898041322294
gbdt,0.5,0.01,mae,150,8,2021,10.0,0.6236987597407644
gbdt,0.5,0.01,mae,150,8,2022,0.0,0.5791397396788456
gbdt,0.5,0.01,mae,150,8,2022,0.1,0.5799539314655944
gbdt,0.5,0.01,mae,150,8,2022,1.0,0.5853358459564286
gbdt,0.5,0.01,mae,150,8,2022,10.0,0.6236410009502222
gbdt,0.5,0.01,mae,150,8,2023,0.0,0.5796306819076181
gbdt,0.5,0.01,mae,150,8,2023,0.1,0.5799684888279867
gbdt,0.5,0.01,mae,150,8,2023,1.0,0.5855663612238806
gbdt,0.5,0.01,mae,150,8,2023,10.0,0.6242052034418524
gbdt,0.5,0.01,mae,150,16,2020,0.0,0.5632104847583513
gbdt,0.5,0.01,mae,150,16,2020,0.1,0.5638123109680605
gbdt,0.5,0.01,mae,150,16,2020,1.0,0.5717555084026971
gbdt,0.5,0.01,mae,150,16,2020,10.0,0.6240092240010042
gbdt,0.5,0.01,mae,150,16,2021,0.0,0.5629457720736029
gbdt,0.5,0.01,mae,150,16,2021,0.1,0.5637009106756125
gbdt,0.5,0.01,mae,150,16,2021,1.0,0.5708279247241151
gbdt,0.5,0.01,mae,150,16,2021,10.0,0.6231508225517397
gbdt,0.5,0.01,mae,150,16,2022,0.0,0.5633031371708169
gbdt,0.5,0.01,mae,150,16,2022,0.1,0.5642695269838267
gbdt,0.5,0.01,mae,150,16,2022,1.0,0.5722956562283703
gbdt,0.5,0.01,mae,150,16,2022,10.0,0.6235573093348254
gbdt,0.5,0.01,mae,150,16,2023,0.0,0.5635380929555226
gbdt,0.5,0.01,mae,150,16,2023,0.1,0.564163532575358
gbdt,0.5,0.01,mae,150,16,2023,1.0,0.5717899425456948
gbdt,0.5,0.01,mae,150,16,2023,10.0,0.6239208375884308
gbdt,0.5,0.01,mae,150,32,2020,0.0,0.5569314298662054
gbdt,0.5,0.01,mae,150,32,2020,0.1,0.5593571895267345
gbdt,0.5,0.01,mae,150,32,2020,1.0,0.571143495442658
gbdt,0.5,0.01,mae,150,32,2020,10.0,0.6240092240010042
gbdt,0.5,0.01,mae,150,32,2021,0.0,0.5565423882173552
gbdt,0.5,0.01,mae,150,32,2021,0.1,0.5587452351075484
gbdt,0.5,0.01,mae,150,32,2021,1.0,0.570741845672643
gbdt,0.5,0.01,mae,150,32,2021,10.0,0.6231508225517397
gbdt,0.5,0.01,mae,150,32,2022,0.0,0.557577078675173
gbdt,0.5,0.01,mae,150,32,2022,0.1,0.55917256602253
gbdt,0.5,0.01,mae,150,32,2022,1.0,0.5714440351427011
gbdt,0.5,0.01,mae,150,32,2022,10.0,0.6235573093348254
gbdt,0.5,0.01,mae,150,32,2023,0.0,0.5571633130683173
gbdt,0.5,0.01,mae,150,32,2023,0.1,0.5588098115504607
gbdt,0.5,0.01,mae,150,32,2023,1.0,0.5711301226825078
gbdt,0.5,0.01,mae,150,32,2023,10.0,0.6239208375884308
gbdt,0.5,0.01,mae,150,64,2020,0.0,0.557106204372864
gbdt,0.5,0.01,mae,150,64,2020,0.1,0.5593571895267345
gbdt,0.5,0.01,mae,150,64,2020,1.0,0.571143495442658
gbdt,0.5,0.01,mae,150,64,2020,10.0,0.6240092240010042
gbdt,0.5,0.01,mae,150,64,2021,0.0,0.5565643298578081
gbdt,0.5,0.01,mae,150,64,2021,0.1,0.5587452351075484
gbdt,0.5,0.01,mae,150,64,2021,1.0,0.570741845672643
gbdt,0.5,0.01,mae,150,64,2021,10.0,0.6231508225517397
gbdt,0.5,0.01,mae,150,64,2022,0.0,0.5576856619342272
gbdt,0.5,0.01,mae,150,64,2022,0.1,0.55917256602253
gbdt,0.5,0.01,mae,150,64,2022,1.0,0.5714440351427011
gbdt,0.5,0.01,mae,150,64,2022,10.0,0.6235573093348254
gbdt,0.5,0.01,mae,150,64,2023,0.0,0.5570821449751199
gbdt,0.5,0.01,mae,150,64,2023,0.1,0.5588098115504607
gbdt,0.5,0.01,mae,150,64,2023,1.0,0.5711301226825078
gbdt,0.5,0.01,mae,150,64,2023,10.0,0.6239208375884308
gbdt,0.5,0.01,mae,200,8,2020,0.0,0.371890354758571
gbdt,0.5,0.01,mae,200,8,2020,0.1,0.3731476614475705
gbdt,0.5,0.01,mae,200,8,2020,1.0,0.3781524649916492
gbdt,0.5,0.01,mae,200,8,2020,10.0,0.41677267589577227
gbdt,0.5,0.01,mae,200,8,2021,0.0,0.3709413177601787
gbdt,0.5,0.01,mae,200,8,2021,0.1,0.3719258675665683
gbdt,0.5,0.01,mae,200,8,2021,1.0,0.3763522881846792
gbdt,0.5,0.01,mae,200,8,2021,10.0,0.4163711697590838
gbdt,0.5,0.01,mae,200,8,2022,0.0,0.371792794256831
gbdt,0.5,0.01,mae,200,8,2022,0.1,0.3727911716581313
gbdt,0.5,0.01,mae,200,8,2022,1.0,0.3778023499544739
gbdt,0.5,0.01,mae,200,8,2022,10.0,0.4166368380652833
gbdt,0.5,0.01,mae,200,8,2023,0.0,0.37211459530627233
gbdt,0.5,0.01,mae,200,8,2023,0.1,0.3725853740112663
gbdt,0.5,0.01,mae,200,8,2023,1.0,0.3779248009166788
gbdt,0.5,0.01,mae,200,8,2023,10.0,0.41694884237145213
gbdt,0.5,0.01,mae,200,16,2020,0.0,0.3553524011929249
gbdt,0.5,0.01,mae,200,16,2020,0.1,0.3557574010076293
gbdt,0.5,0.01,mae,200,16,2020,1.0,0.36377502944460255
gbdt,0.5,0.01,mae,200,16,2020,10.0,0.4164833722679311
gbdt,0.5,0.01,mae,200,16,2021,0.0,0.35537425547088874
gbdt,0.5,0.01,mae,200,16,2021,0.1,0.35597900306105495
gbdt,0.5,0.01,mae,200,16,2021,1.0,0.36307307632978536
gbdt,0.5,0.01,mae,200,16,2021,10.0,0.4157766421594794
